"","caseId","justiceName","pitch_diff","petitioner_vote","justiceMQ","unpleasantDiff_totalWords","pleasantDiff_totalWords","docket","jquest_r","jquest_p","jwords_r","jwords_p"
"55","2004-014","SGBreyer",0.127974836,0,-1.182,0.149159908,0.096561432,"04-104","122","89","4123","4011"
"56","2004-014","AScalia",-0.146875914,0,2.725,0.667593002,-1.194159746,"04-104","122","89","4123","4011"
"57","2004-014","AScalia",-0.146875914,0,2.725,0.667593002,-1.194159746,"04-104","122","89","4123","4011"
"58","2004-014","DHSouter",1.175718881,0,-1.698,1.371647835,-2.53964448,"04-104","122","89","4123","4011"
"59","2004-014","DHSouter",1.175718881,0,-1.698,1.371647835,-2.53964448,"04-104","122","89","4123","4011"
"60","2004-014","WHRehnquist",-0.557112704,0,1.49,-2.373365879,2.757352829,"04-104","122","89","4123","4011"
"61","2004-014","WHRehnquist",-0.557112704,0,1.49,-2.373365879,2.757352829,"04-104","122","89","4123","4011"
"62","2004-014","AMKennedy",0.198187281,0,0.534,0.292232275,-0.472569227,"04-104","122","89","4123","4011"
"63","2004-014","AMKennedy",0.198187281,0,0.534,0.292232275,-0.472569227,"04-104","122","89","4123","4011"
"64","2004-015","SGBreyer",-0.795563291,0,-1.182,-2.10457468,-1.474371672,"03-674","63","45","2013","1655"
"65","2004-015","AScalia",0.092013091,0,2.725,1.020930529,1.020930529,"03-674","63","45","2013","1655"
"66","2004-015","DHSouter",-0.475783084,0,-1.698,4.336014748,-0.327637672,"03-674","63","45","2013","1655"
"67","2004-015","RBGinsburg",-1.113954572,0,-1.697,1.905920267,1.048545837,"03-674","63","45","2013","1655"
"68","2004-017","RBGinsburg",0.328292855,0,-1.697,3.080594063,0.259809017,"03-923","83","75","2170","2535"
"69","2004-017","SGBreyer",0.133169619,1,-1.182,-2.591463327,5.731707096,"03-923","83","75","2170","2535"
"70","2004-017","JPStevens",0.419442196,1,-2.522,1.578947425,3.037101269,"03-923","83","75","2170","2535"
"71","2004-017","AScalia",-0.501705416,1,2.725,-0.59732008,1.397910357,"03-923","83","75","2170","2535"
"72","2004-017","SDOConnor",-0.291985701,1,0.084,-1.281055927,-4.927137375,"03-923","83","75","2170","2535"
