,caseId,justiceName,petac,respac,sgpetac,sgrespac,justiceMQ,petNumStat,respNumStat,lowerConservative,lowerConXjusticeMQ,unpleasantDiff_totalWords,pleasantDiff_totalWords,questionDifference,petVote
1715,2004-039,RBGinsburg,1,0,0,0,-1.697,3,7,1,-1.697000027,-2.057056904,0.045045137,12,1
1716,2005-012,RBGinsburg,0,2,0,0,-1.467,3,7,1,-1.467000008,1.466133475,-1.393432736,7,0
1717,2005-012,DHSouter,0,2,0,0,-1.587,3,7,1,-1.587000012,5.660377502,5.660377502,2,0
1718,2004-039,DHSouter,1,0,0,0,-1.698,3,7,1,-1.697999954,3.292068243,1.435135841,-6,1
1719,2005-012,JGRoberts,0,2,0,0,1.568,3,7,1,1.567999959,-5.109262943,-2.300274372,3,0
1720,2005-012,AScalia,0,2,0,0,2.72,3,7,1,2.720000029,-4.38596487,-0.877192974,-8,0
1721,2005-012,SDOConnor,0,2,0,0,-0.027,3,7,1,-0.027000001,0.463349342,1.658789158,-2,0
1722,2004-039,AScalia,1,0,0,0,2.725,3,7,1,2.724999905,1.136363983,2.398990154,17,1
1723,2007-062,CThomas,3,0,0,0,4.372,9,3,1,4.372000217,0,0,0,0
1724,2007-062,SAAlito,3,0,0,0,1.701,9,3,1,1.700999975,-4.168412209,0.356095314,1,1
1725,2007-062,JPStevens,3,0,0,0,-2.349,9,3,1,-2.348999977,-0.927793503,-1.35135138,-2,1
1726,2007-062,AMKennedy,3,0,0,0,0.342,9,3,1,0.342000008,0.351665974,-0.034590244,-3,1
1727,2007-062,JGRoberts,3,0,0,0,1.616,9,3,1,1.616000056,0.012300968,-1.860546112,-5,1
1728,2007-062,AScalia,3,0,0,0,2.755,9,3,1,2.755000114,0.422987461,-0.669454813,10,0
1729,2007-062,DHSouter,3,0,0,0,-1.487,9,3,1,-1.486999989,-6.653225899,-3.427419424,-10,1
1730,2007-062,SGBreyer,3,0,0,0,-1.354,9,3,1,-1.353999972,-5.287356377,-4.597701073,-4,1
1731,2007-062,RBGinsburg,3,0,0,0,-1.564,9,3,1,-1.56400001,-2.198996544,-2.139443398,-7,1
1732,2007-034,JGRoberts,1,4,1,0,1.616,9,3,0,0,-1.742761612,-1.884253025,-14,1
1733,2007-034,RBGinsburg,1,4,1,0,-1.564,9,3,0,0,2.439024448,1.084010839,17,1
1734,2008-032,DHSouter,2,2,1,0,-1.506,9,3,0,0,4.659498215,2.628434896,12,1
1735,2007-034,SGBreyer,1,4,1,0,-1.354,9,3,0,0,-4.447439194,-1.347708941,-6,1
1736,2008-044,SGBreyer,1,4,1,0,-1.11,9,3,0,0,-0.856339216,0.157659411,1,1
1737,2008-032,JGRoberts,2,2,1,0,1.699,9,3,0,0,-0.423980713,0.542883158,-7,1
1738,2007-034,SAAlito,1,4,1,0,1.701,9,3,0,0,10.76990509,3.739855289,-4,1
1739,2008-032,RBGinsburg,2,2,1,0,-1.65,9,3,0,0,-2.054467201,0.700748563,-4,1
1740,2005-080,SAAlito,3,1,1,0,1.584,9,3,0,0,-4.878048897,-4.065040588,-4,1
1741,2008-051,JPStevens,1,1,1,0,-2.545,9,3,0,0,7.5,1.25,8,0
1742,2008-044,AScalia,1,4,1,0,2.736,9,3,0,0,-0.174927235,-0.932944536,10,0
